wavelength,Z_L_IRCF,Z_IRCF,Z_H_IRCF,Y_L_IRCF,Y_IRCF,Xl_IRCF,Xl_H_IRCF,685_055_IRCF
404,0.072845032,0.042375132,0.002439407,0.00222613,0.002729609,0.002695194,0.010834677,0.003090823
405,0.084005494,0.046675206,0.002534457,0.002642402,0.002867458,0.002873016,0.009790496,0.003498403
406,0.097708926,0.050963486,0.002607934,0.003138181,0.003055258,0.003029857,0.008513031,0.003861491
407,0.112423128,0.055458338,0.002628907,0.003704706,0.003204117,0.003182909,0.007849782,0.004156025
408,0.12768369,0.060584969,0.002594579,0.004335855,0.003333358,0.003322347,0.008252251,0.004388034
409,0.143294044,0.066267505,0.002471094,0.005003588,0.003453886,0.003409295,0.008995655,0.004630004
410,0.159547759,0.07266766,0.002371732,0.005735682,0.003533775,0.003421277,0.009787409,0.004879937
411,0.176679765,0.07969701,0.002463499,0.006560757,0.003554975,0.003404136,0.010470766,0.005108095
412,0.198061808,0.087612318,0.002686768,0.007458585,0.00352817,0.003403537,0.011098154,0.005292864
413,0.221577291,0.096156948,0.002966561,0.00838083,0.00339131,0.003361844,0.011330568,0.005400301
414,0.246477451,0.10530741,0.003300805,0.009327246,0.00309873,0.003249146,0.010803684,0.005456089
415,0.27259655,0.11497238,0.003674166,0.010269035,0.003004782,0.003107098,0.009600321,0.005523897
416,0.299507037,0.125430335,0.003981224,0.011156977,0.003188521,0.002859001,0.007088388,0.00561272
417,0.327416793,0.137967639,0.004223203,0.012005822,0.003460619,0.002429596,0.0048315,0.00563963
418,0.355043281,0.152693731,0.004305286,0.012724425,0.003767871,0.00177459,0.005008446,0.005614032
419,0.381503353,0.169052353,0.004193566,0.013380311,0.004101285,0.001770591,0.005282433,0.00561943
420,0.406052978,0.186881884,0.003830549,0.014298979,0.004472497,0.001836009,0.005647217,0.005683045
421,0.426367026,0.205637384,0.002965241,0.015313119,0.004848906,0.001910695,0.006067545,0.005653171
422,0.440648122,0.225274072,0.001929555,0.016370666,0.005211917,0.001987614,0.006525555,0.005545596
423,0.446916669,0.245829273,0.001665064,0.017419339,0.005553324,0.002057509,0.006992219,0.005295733
424,0.444738184,0.267332401,0.001544233,0.018503423,0.00591224,0.002129105,0.007541165,0.004771319
425,0.436584781,0.289033149,0.001473129,0.019569749,0.006269744,0.002195485,0.008075335,0.003829432
426,0.425185378,0.310720752,0.001434426,0.020612135,0.006608628,0.002247215,0.00847751,0.003436924
427,0.41134834,0.332152108,0.001427933,0.021623433,0.006926653,0.002289271,0.008782087,0.003635529
428,0.395507494,0.352996093,0.001439998,0.022624517,0.007188796,0.00232909,0.008961435,0.003908599
429,0.377913885,0.373179673,0.001467681,0.023637263,0.007399655,0.002371985,0.008872409,0.004201211
430,0.358611923,0.392428041,0.001526033,0.024639927,0.007782898,0.002421263,0.008505074,0.004512146
431,0.338391064,0.40969108,0.001608117,0.025564945,0.008392955,0.002463154,0.007864982,0.004802268
432,0.316495676,0.425139257,0.001729378,0.026479396,0.009125002,0.002505098,0.006982205,0.005132601
433,0.293361138,0.438725011,0.001904513,0.027386892,0.009927626,0.002546981,0.006413127,0.005485335
434,0.269087335,0.451341868,0.002136905,0.028276071,0.010771085,0.002558482,0.006332555,0.00586505
435,0.243490532,0.463722641,0.002440394,0.029229836,0.011674515,0.002524493,0.006360668,0.006199431
436,0.216529165,0.475719537,0.002851431,0.030261339,0.012643688,0.002562429,0.006431534,0.006536507
437,0.188394535,0.486824466,0.003394904,0.031357159,0.013655809,0.002647812,0.006450449,0.00689956
438,0.160013477,0.496549877,0.004087143,0.032466406,0.014672771,0.002738479,0.006279897,0.007284002
439,0.131725098,0.505030481,0.005017628,0.033618243,0.015696689,0.002831264,0.00596144,0.007563273
440,0.10586758,0.512292038,0.00623809,0.034768866,0.016662682,0.002913817,0.005475368,0.007737529
441,0.083715531,0.518670494,0.00782297,0.035936215,0.017567115,0.002984434,0.004711467,0.007785952
442,0.066407704,0.524266187,0.009823085,0.03718744,0.018503159,0.00303137,0.004363369,0.007632721
443,0.053052528,0.528880433,0.012308573,0.038431068,0.019592456,0.003042282,0.004584188,0.007182809
444,0.042447643,0.532101639,0.015314585,0.03954507,0.020733374,0.00303312,0.004958674,0.007085657
445,0.033722888,0.533924939,0.019069384,0.040533311,0.021915609,0.003056294,0.005516577,0.007134105
446,0.026788596,0.534647601,0.023747673,0.041288607,0.023080179,0.003112367,0.006209048,0.00712384
